city,country,budget,walkability,aqi,popularity,low_season,medium_season,high_season,interest_type,interest_title,interest_text
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",eat,1000fryd,"1000fryd: an alternative bar, vegan dinner on Tuesdays for 20dk. You have to sign up before."
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",eat,KN Pizza & Kebab 2,"KN Pizza & Kebab 2: a small pizza place known for its quality food, but it is not cheap actually quiet the opposite."
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",eat,San Giovanni,San Giovanni: Good Italian restaurant
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",drink,The Wharf,"The Wharf: Borgergade 16, has the best beer in town (same owner as '''Charlies''' in Copenhagen)."
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",drink,The Irish House,"The Irish House: Østerågade 25, tel: 98141817,"
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",drink,London Pub,London Pub: Boulevarden 7.
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",drink,1000fryd,"1000fryd: Kattesundet 10, is Aalborg's only bar run by activists. 1000fryd has been around since 1984 when Aalborg's alternative scene bought the place. Now the place is known for their ecological beer, underground music scene and D.I.Y attitude towards life. 1000fryd has two reoccurring festivals, namely their Punk/HC festival and their Queer festival. [http://www.1000fryd.dk/]"
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",drink,Behag din smag,"Behag din smag: Coffee, tea and chocolate. If you enjoy good coffee, then this is the spot. One of the owners was the Danish Barista champion of 2007."
Aalborg,Denmark,High,Great,Moderate,Medium,"['January', 'February', 'March', 'April', 'November', 'December']","['May', 'September', 'October']","['June', 'July', 'August']",drink,Søgaards Bryghus,"Søgaards Bryghus: Brew pub, very modern ambiance, with the mash tuns in full view. Offers many styles of beer, including stouts, porters, IPA as well as lagers."
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",see,Çatalan Bridge,Çatalan Bridge: Longest bridge in Turkey.
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",see,Sabancı Mosque,Sabancı Mosque: One place you should not miss while in Adana. The mosque was built in 1999 and is the largest mosque in Turkey.
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",see,Archaeological Museum of Adana,"Archaeological Museum of Adana: Re-opened for visits after restoration (except for stone monuments section, still being restored)."
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",see,Ethnographic Museum of Adana,Ethnographic Museum of Adana: Closed for renovation.
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",eat,Adana Kebab,"Adana Kebab: Delicious and famous '''Adana kebap''' and mezzes, usually accompanied by '''''salgam''''' (turnip) juice and/or ''raki'' (traditional Turkish alcoholic drink)."
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",eat,Cafe Ora,Cafe Ora: Has a bar on second floor. You can have a ''bici bici'' (traditional Adana sweet) for TRY3 there.
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",eat,Mado's,"Mado's: Sweet shop. Higher class than your regular street vendor and a little pricey, but delicious food. You should eat special Turkish ice cream."
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",drink,Istanbul Bar,"Istanbul Bar: A cool, chill out bar with groovy music with a wide selection of unusual but fun cocktails! Open until the last customer leaves."
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",drink,Nargile Bar,"Nargile Bar: A down-tempo place. This is more for the young working class. Many of the patrons are between 20-30, and for the most part are out of university.  Live Turkish music is played here almost every night, and Tuborg Green can be bought on tap for TRY4.50 TL a pint."
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",drink,The North Shield,The North Shield: Generally a quiet atmosphere that is good to take a few friends to.
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",drink,Pickup Rock Bar,"Pickup Rock Bar: Downstairs in the Cemalpasa area, this bar usually has live Turkish bands covering American rock on weekends. Closed early in the week, on the days that it is open, you can get in until late in the morning. Crowds usually start showing up around 23:30, the time the band starts playing. Efes on tap can be bought here for TRY6 a pint."
Adana,Turkey,Low,Great,Good,Low,"['January', 'February', 'March']",['June'],"['April', 'May', 'July', 'August', 'September', 'October', 'November', 'December']",drink,Starbucks,"Starbucks: There are 4 Starbucks Coffee shops in Adana, in addition to one in Incirlik. The one on Ziyapaşa is a popular hangout for expatriates and English-speaking Turks."
Adiyaman,Turkey,not specified,not specified,not specified,Low,"['January', 'February', 'March', 'November', 'December']","['April', 'May', 'June', 'September', 'October']","['July', 'August']",,,
Agri,Turkey,not specified,not specified,not specified,Low,"['January', 'February', 'March', 'November', 'December']","['April', 'May', 'June', 'September', 'October']","['July', 'August']",,,
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Megabus,"Megabus: British low-budget bus company Megabus operates a bus service twice-daily from London and Paris to Amsterdam via Brussels, terminating at the PR Transferium Zeeburg in the east of the city. Tram 26 connects it with Amsterdam Centraal."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Amsterdam Boats B.V.,"Amsterdam Boats B.V.: Personal rental of a wide variety of boats. You can rent a ''gondola'', hand made by a girl from Amsterdam. She traveled to Venice to learn the craft, then built her own Gondola which she brought back to Amsterdam."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Amsterdam Jewel Cruises,"Amsterdam Jewel Cruises: An evening dinner cruise. It is the only classic boat offering a private table for a romantic candlelight dinner. A la carte dining, but not cheap! The cruise starts at 19:30 and lasts just under three hours."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Boaty,Boaty: Boaty offers rental boats so you can do your own private tour (or choose one of the provided canal routes). These rental boats are electrically driven which means they are silent and free of exhaust fumes.
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Boats4rent,Boats4rent: Boats4rent has self operated rental boats at the Westerpark. With a three or four hour rental you can make a private trip on the Amsterdam canals and the Amstel river.
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Canal Company,"Canal Company: The Canal Hopper runs three fixed routes, stopping near major attractions (Rijksmuseum, Anne Frank's House, etc.). You can get on or off as often as you like, but it is relatively expensive with €20 per 24 hours. The first boats start between 09:15 and 10:45, depending on which stop you get on. The last boats start dropping off at around 19:00. It also has four locations for renting your own boat; two-seater canal bikes cost €8 per person per hour."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Lovers Company,"Lovers Company: Starts opposite the Rijksmuseum, but you cannot get on or off. The cruise takes about 1 hr 30 min."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Chinese New Year,Chinese New Year: Celebrated with festivities in Chinatown.
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Imagine Film Festival,"Imagine Film Festival: A two weeks celebration of drive-in, exploitation and cult films, generally of the lower budget variety. Takes up all the screening rooms of the EYE Film Institute in Noord."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,King's Day,"King's Day: Formerly Queen's Day, this national holiday, nominally in celebration of the King's birthday, is difficult to describe to anyone who's never been there. The city turns into one giant mass of orange-dressed people with flea markets, bands playing, and many on-street parties, ranging from small cafes placing a few kegs of beer outside to huge open-air stages hosting world-famous DJs. The Vondelpark is the place where children sell toys and perform. An experience you'll never forget. Normally held on April 27, but if that is a Sunday, it is celebrated one day earlier."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,KunstRAI,"KunstRAI: A modern art fair in the RAI exhibition and conference center. If you want to know what the latest developments are in Dutch galleries, this is where to find them all in one place."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Holland Festival,"Holland Festival: A performing arts festival that brings together events from all over the world in the fields of music, opera, theater and dance."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Taste of Amsterdam,Taste of Amsterdam: A culinary festival where you can explore the food of famous Amsterdam restaurants and their chefs.
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Open Garden Days,"Open Garden Days: Normally you can see only the front of the canal houses, but during the Open Garden Days you get to go past the entrance and see the green world behind them, often bigger than you would have expected. You can buy one ticket that gives you entry to all participating gardens, and there is a special canal boat to take you from one location to another."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Amsterdam Roots Festival,Amsterdam Roots Festival: A free open-air festival with music from non-Western countries accompanied by paid film and theater performances in the surrounding theaters.
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Julidans,"Julidans: International contemporary dance festival, always showing the latest developments in modern dance."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Vondelpark Openluchttheater,"Vondelpark Openluchttheater: This free festival offers many different performances every day. Go to the open air theater just by the fountain and let the entertainment do the work. From cabaret to drama to concerts to dance, there is something for everyone here and for all ages."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Amsterdam International Fashion Week,"Amsterdam International Fashion Week: Twice a year, this event presents young and upcoming fashion in Europe with a focus on Dutch design."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Robeco Summer Nights,Robeco Summer Nights: Affordable classical music concerts taking place at the prestigious Concertgebouw.
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,De Parade,"De Parade: Circus turns vintage, on an old-fashioned fairground with many different tents, the performers are each trying to attract their public, featuring spectacles of dance, theater, magic, art, animation and music."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Amsterdam Pride,"Amsterdam Pride: Amsterdam's gay pride on the first weekend in August. One of the biggest festivals in Amsterdam with parties, performances, workshops and a boat parade on the Prinsengracht on Saturday afternoon which is always well worth seeing by gays and straights alike."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Prinsengrachtconcert and Grachtenfestival,"Prinsengrachtconcert and Grachtenfestival: Third weekend of August each year. A free open-air classical music concert is held every year on a stage in the middle of the Prinsengracht. If you have a little boat, join the crowds and make sure to bring a bottle of rose wine or prosecco for full enjoyment. It takes place during the Grachtenfestival, a 10 days classical music festival with about 150 concerts throughout the city, but is organized independently from it."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Sail Amsterdam,"Sail Amsterdam: Tall-ships from all over the world come to visit the Amsterdam harbor every five years, the next one is in 2015."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Uitmarkt,"Uitmarkt: The opening of the cultural season in the last weekend of August, it offers a taste of the year to come with 30 min performances at different theaters, an extensive book market and many open-air concerts. All free."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Jordaan Festival,"Jordaan Festival: A big inner city street festival celebrating the diversity of this former working class district. Features can include drum bands, a children's festival, opera and cabaret, a ''boules'' competition, a flea market and an auction."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Robodock,"Robodock: A unique festival presenting contemporary art shows in the huge, old NDSM shipyard depot in Noord. The atmosphere is rough, industrial, experimental. A lot of loud music, fire, smoke, noise and heavy machinery are usually elements of these performances."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,National Restaurant Week,"National Restaurant Week: Two times a year, participating restaurants offer a full 3 course dinner for a mere €25 (excluding drinks), allowing you to try a different restaurant for a change or a chance to have an affordable meal at one of the famous five-star restaurants."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Amsterdam Dance Event,"Amsterdam Dance Event: Usually held during the second last weekend in October, this electronic music annual festival gathers cream of the crop faces from the house and techno scenes. Buy your tickets in advance to avoid paying more at the door and having to queue for hours. Besides partying for four nights in a row, the conference offers workshops, seminars, presentations etc."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Museumnacht,"Museumnacht: Long before the film came out, this ""night at the museum"" attracts new crowds at the traditional Amsterdam museums with special performances at unusual locations. Do as the locals do and hire a bike to go from one place to the other."
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,PAN Amsterdam,PAN Amsterdam: Third week of November. The biggest national art and antiques fair in the Netherlands.
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,International Documentary Film Festival (IDFA),International Documentary Film Festival (IDFA): The largest festival in the world for documentary films with screenings of about 200 documentary films and videos.
Amsterdam,Netherlands,High,Great,Great,High,"['January', 'February', 'March']","['June', 'November']","['April', 'May', 'July', 'August', 'September', 'October', 'December']",do,Museumplein,"Museumplein: Amsterdam celebrates holy day of Sint Nicholaas on December 5th as Christmas in the Dam Square also known as ""Christmas Square"". However, on the Day of Christmas, i.e. December 25th, the people of Amsterdam are also getting used to celebrating Christmas along with Anglo-Americans."
Ancona,Italy,not specified,not specified,not specified,Medium,"['January', 'February', 'March', 'November', 'December']","['April', 'May', 'June', 'September', 'October']","['July', 'August']",see,Ancona Cathedral,Ancona Cathedral: Attractive Ancona Cathedral stands on the Guasco hill overlooking the city's port and offers amazing views of Ancona and the Adriatic coast. The wooden roof of the 11th century Cathedral is actually in the shape of an upside-down boat and its most obvious feature is the 12-sided cupola. The Cathedral is actually built on the site of an ancient temple dedicated to Venus and you can still see some of the ruins underneath the church.
Ancona,Italy,not specified,not specified,not specified,Medium,"['January', 'February', 'March', 'November', 'December']","['April', 'May', 'June', 'September', 'October']","['July', 'August']",see,Serenellini's Accordion Factory,"Serenellini's Accordion Factory: Since 1978 ""Serenellini"" manufactures a wide range of excellent handicrafted accordions, able to satisfy the needs of the student as well as the most demanding professional accordionist. The artisan style of Serenellini's accordion suits to the quality of the product; using only the best Italian raw materials,employing highly experienced craftsmen and adhering to a severe policy of accurate on-line testing up to the final product give rise to the top reliability guarantee of the instrument."
Ancona,Italy,not specified,not specified,not specified,Medium,"['January', 'February', 'March', 'November', 'December']","['April', 'May', 'June', 'September', 'October']","['July', 'August']",see,Parco del Cardeto,"Parco del Cardeto: Beautiful park on the hills close to the city. You gain an amazing view over the city, the harbour and along the coastline of the adriatic sea. No access to the beach from here."
Ancona,Italy,not specified,not specified,not specified,Medium,"['January', 'February', 'March', 'November', 'December']","['April', 'May', 'June', 'September', 'October']","['July', 'August']",do,Pinacoteca Comunale,"Pinacoteca Comunale: Ancona's Pinacoteca Comunale (art gallery) is located in Palazzo Bosdari and houses over 100 works by 14th-19th century artists from the Marches and Veneto regions, including Titian and Andrea del Sarto. The top floor of the museum is occupied by the Gallery of Modern Art which contains a large number of works by the late Francesco Podesti and various other contemporary Italian artists."
Ancona,Italy,not specified,not specified,not specified,Medium,"['January', 'February', 'March', 'November', 'December']","['April', 'May', 'June', 'September', 'October']","['July', 'August']",do,Mount Conero & Beaches,Mount Conero & Beaches: Beautiful coastline and beaches lying at the foot of Mount Conero
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Kocatepe Mosque,"Kocatepe Mosque: built between 1967 and 1987 Completed in 1987, this project is built in a neoclassical Ottoman architecture style, and is an eclectic building"
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Hacı Bayram Mosque,"Hacı Bayram Mosque: restored by architect Mimar Sinan in the 16th century, with Kütahya tiles being added in the 18th century. Just next door is the small tomb of Hacı Bayram Veli, a poet and Sufi, who settled in Ankara in the 15th century to spread his teachings. This is considered to be the holiest shrine in the city by pious Muslims, who can be found praying in and outside the tomb in large numbers regardless of the time of the day. Take a look inside to see the colourful dome topping the structure."
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Arslanhane Mosque,"Arslanhane Mosque: A 13th-century Seljuk mosque near the citadel, and quite worth the effort to climb up the steep hill leading there. Has a finely carved wooden ceiling supported by a ""forest"" of stately wooden columns, following the style of a few such mosques dispersed throughout Anatolia."
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Sultan Alaeddin Mosque,"Sultan Alaeddin Mosque: It has a carved walnutmimber, the inscription on which records that the mosque was completed in early AH 574 (which corresponds to the summer of 1178 AD) by the Seljuk Sultan. Ankara's first mosque was built in former Kaleici district."
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Ahi Elvan Mosque,Ahi Elvan Mosque: was constructed during the late 14th and early 15th centuries. The finely carved walnut member (pulpic) is of particular interest.
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Yeni Mosque,"Yeni Mosque: was built by the famous architect Sinan in the 16th century. The mimber (pulpit) and mihrap (prayer niche) are of white marble, and the mosque itself is of Ankara stone, an example of very fine workmanship.."
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Museum of Anatolian Civilizations,Museum of Anatolian Civilizations: Display of the artefacts remained from the pre-Greek and -Roman Asia Minor/Anatolian civilizations — the best bits of sculptures and reliefs of the ancient Near East are all here. The oldest artefacts in display date back to the Paleolithic. This museum is one of the best in Turkey and by itself makes Ankara certainly worthwhile to visit.
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,State Art and Sculpture Museum,State Art and Sculpture Museum: Hosts galleries with temporary exhibitions as well as a permanent display of Turkish art from late 1800s up to today.
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Cer Modern,"Cer Modern: The recently opened (April 2010) modern art museum of the city, Cer Modern is housed in the historic power plant building of Turkish Railways. Contemporary art. - P: +90 312 3100000 F: +90 312 3101000"
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,TCDD Open Air Steam Locomotive Museum,TCDD Open Air Steam Locomotive Museum: An open-air museum.
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Rahmi M. Koc Museum,"Rahmi M. Koc Museum: Similar to Istanbul's industrial museum (of which Çengelhan is actually a part), the technological progress from 1850s onwards is on display in this museum housed in an old Ottoman caravanserai, what was the former Çengel Han, an Ottoman era caravanserai (han) which was completed in 1523, during the early years of the reign of Sultan Suleiman the Magnificent. - The lower floor is reserved for a carpet gallery, agricultural machinery and pharmaceutical exhibits. Various machines, medicine, everyday life tools and road transport vehicles are exhibited in the ground floor. A brasserie is also at the ground floor. The upper floor hosts sections of rail transport items, toys, communications, scientific instruments, maritime and navigation. There are also sections about Mustafa Kemal Atatürk, the founder of modern Turkey; Vehbi Koç, Rahmi Koç's father and one of the first industrialists of Turkey, and Ankara city"
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Ankara Aviation Museum,"Ankara Aviation Museum: Various aircraft, aviation items, missiles, and whatnot are in the exhibition, as well as a number of MiGs from the other side of Iron Curtain."
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Liberation War Museum,"Liberation War Museum: This originally was the first building which hosted Turkish Republican Parliament, in which the War of Independence, fought in 1921-22 was directed from, as evidenced by photographs and other items in the display. Waxworks of former Turkish presidents are also on display."
Ankara,Turkey,Low,Great,Good,High,"['January', 'February', 'March']","['April', 'June', 'November']","['May', 'July', 'August', 'September', 'October', 'December']",see,Hacettepe University Arts Museum,Hacettepe University Arts Museum: you can see over 250 works of many Turkish painters and artists from the early ages of the Republic until our times. .
